,Uncorrected,PICor,AccuCor,IsoCorrectoR,IsoCor
M+0,85.34033285628635,123.57445657714224,123.6204380810131,123.74601929713144,96.51540588527352
M+1,26.31781536984132,0.0,1.9592723935108438,1.9128140106352571,25.494120052833864
M+2,100.0,122.74201962564295,125.38283857030447,125.42639630129449,103.61216981642977
M+3,27.08433656503572,0.0,0.0,0.0,23.351726561516045
M+4,2.494796060125702,0.0,0.0,0.0,0.0
M+5,46.30381673273214,60.35792396243192,60.46837020308774,60.504362328387316,50.073505232031145
M+6,22.741012026551875,13.48714455969511,15.940382852350314,15.907473833045696,23.168214375672854
M+7,59.87886219224608,68.87373044303025,70.37577027520241,70.4151716616471,62.57224713507915
M+8,22.199681234734534,9.155807705686303,11.467779499213062,11.445309486743845,20.286943671578317
M+9,9.538349547196571,1.179075754141853,2.5171327038780063,2.4707859392054834,4.652159642886333
M+10,1.9863416244249128,0.0,0.0,0.0,0.149851017927419
M+11,3.9427981726488097,4.456209668125684,4.307530206741318,4.296337266355732,3.8326749652686307
M+12,2.6962589389343092,2.4807030257772134,2.417068248241439,2.4139433635821166,2.761589066766183
